id,number,stree,town
4233,33,Ash Park,York
4234,34,Ash Park,York
4235,35,Ash Park,York
4236,36,Ash Park,York
4237,37,Ash Park,York
4238,38,Ash Park,York
4239,39,Ash Park,York
4240,40,Ash Park,York
4241,41,Ash Park,York
4242,42,Ash Park,York
4243,43,Ash Park,York
4244,44,Ash Park,York
4245,45,Ash Park,York
4246,46,Ash Park,York
4247,47,Ash Park,York
4248,48,Ash Park,York
4249,49,Ash Park,York
4250,50,Ash Park,York
4251,51,Ash Park,York
4252,52,Ash Park,York
4253,53,Ash Park,York
4254,54,Ash Park,York
4255,55,Ash Park,York
4256,56,Ash Park,York
4257,57,Ash Park,York
4258,58,Ash Park,York
4259,59,Ash Park,York
4260,60,Ash Park,York
4261,61,Ash Park,York
4262,62,Ash Park,York
4263,63,Ash Park,York
4264,64,Ash Park,York
4265,65,Ash Park,York
4266,66,Ash Park,York
4267,67,Ash Park,York
4268,68,Ash Park,York
4269,69,Ash Park,York
4270,70,Ash Park,York
4271,71,Ash Park,York
4272,72,Ash Park,York
4273,73,Ash Park,York
4274,74,Ash Park,York
4275,75,Ash Park,York
4276,76,Ash Park,York
4277,77,Ash Park,York
4278,78,Ash Park,York
4279,79,Ash Park,York
4280,80,Ash Park,York
4281,81,Ash Park,York
4282,82,Ash Park,York
4283,83,Ash Park,York
4284,84,Ash Park,York
4285,85,Ash Park,York
4286,86,Ash Park,York
4287,87,Ash Park,York
4288,88,Ash Park,York
4289,89,Ash Park,York
4290,90,Ash Park,York
4291,91,Ash Park,York
4292,92,Ash Park,York
4293,93,Ash Park,York
4294,94,Ash Park,York
4295,95,Ash Park,York
4296,96,Ash Park,York
4297,97,Ash Park,York
4298,98,Ash Park,York
4299,99,Ash Park,York
4300,100,Ash Park,York
4301,1,Ash Park,Leeds
4302,2,Ash Park,Leeds
4303,3,Ash Park,Leeds
4304,4,Ash Park,Leeds
4305,5,Ash Park,Leeds
4306,6,Ash Park,Leeds
4307,7,Ash Park,Leeds
4308,8,Ash Park,Leeds
4309,9,Ash Park,Leeds
4310,10,Ash Park,Leeds
4311,11,Ash Park,Leeds
4312,12,Ash Park,Leeds
4313,13,Ash Park,Leeds
4314,14,Ash Park,Leeds
4315,15,Ash Park,Leeds
4316,16,Ash Park,Leeds
4317,17,Ash Park,Leeds
4318,18,Ash Park,Leeds
4319,19,Ash Park,Leeds
4320,20,Ash Park,Leeds
4321,21,Ash Park,Leeds
4322,22,Ash Park,Leeds
4323,23,Ash Park,Leeds
4324,24,Ash Park,Leeds
4325,25,Ash Park,Leeds
4326,26,Ash Park,Leeds
4327,27,Ash Park,Leeds
4328,28,Ash Park,Leeds
4329,29,Ash Park,Leeds
4330,30,Ash Park,Leeds
4331,31,Ash Park,Leeds
4332,32,Ash Park,Leeds
4333,33,Ash Park,Leeds
4334,34,Ash Park,Leeds
4335,35,Ash Park,Leeds
4336,36,Ash Park,Leeds
4337,37,Ash Park,Leeds
4338,38,Ash Park,Leeds
4339,39,Ash Park,Leeds
4340,40,Ash Park,Leeds
4341,41,Ash Park,Leeds
4342,42,Ash Park,Leeds
4343,43,Ash Park,Leeds
4344,44,Ash Park,Leeds
4345,45,Ash Park,Leeds
4346,46,Ash Park,Leeds
4347,47,Ash Park,Leeds
4348,48,Ash Park,Leeds
4349,49,Ash Park,Leeds
4350,50,Ash Park,Leeds
4351,51,Ash Park,Leeds
4352,52,Ash Park,Leeds
4353,53,Ash Park,Leeds
4354,54,Ash Park,Leeds
4355,55,Ash Park,Leeds
4356,56,Ash Park,Leeds
4357,57,Ash Park,Leeds
4358,58,Ash Park,Leeds
4359,59,Ash Park,Leeds
4360,60,Ash Park,Leeds
4361,61,Ash Park,Leeds
4362,62,Ash Park,Leeds
4363,63,Ash Park,Leeds
4364,64,Ash Park,Leeds
4365,65,Ash Park,Leeds
4366,66,Ash Park,Leeds
4367,67,Ash Park,Leeds
4368,68,Ash Park,Leeds
4369,69,Ash Park,Leeds
4370,70,Ash Park,Leeds
4371,71,Ash Park,Leeds
4372,72,Ash Park,Leeds
4373,73,Ash Park,Leeds
4374,74,Ash Park,Leeds
4375,75,Ash Park,Leeds
4376,76,Ash Park,Leeds
4377,77,Ash Park,Leeds
4378,78,Ash Park,Leeds
4379,79,Ash Park,Leeds
4380,80,Ash Park,Leeds
4381,81,Ash Park,Leeds
4382,82,Ash Park,Leeds
4383,83,Ash Park,Leeds
4384,84,Ash Park,Leeds
4385,85,Ash Park,Leeds
4386,86,Ash Park,Leeds
4387,87,Ash Park,Leeds
4388,88,Ash Park,Leeds
4389,89,Ash Park,Leeds
4390,90,Ash Park,Leeds
4391,91,Ash Park,Leeds
4392,92,Ash Park,Leeds
4393,93,Ash Park,Leeds
4394,94,Ash Park,Leeds
4395,95,Ash Park,Leeds
4396,96,Ash Park,Leeds
4397,97,Ash Park,Leeds
4398,98,Ash Park,Leeds
4399,99,Ash Park,Leeds
4400,100,Ash Park,Leeds
4401,1,Ash Park,Manchester
4402,2,Ash Park,Manchester
4403,3,Ash Park,Manchester
4404,4,Ash Park,Manchester
4405,5,Ash Park,Manchester
4406,6,Ash Park,Manchester
4407,7,Ash Park,Manchester
4408,8,Ash Park,Manchester
4409,9,Ash Park,Manchester
4410,10,Ash Park,Manchester
4411,11,Ash Park,Manchester
4412,12,Ash Park,Manchester
4413,13,Ash Park,Manchester
4414,14,Ash Park,Manchester
4415,15,Ash Park,Manchester
4416,16,Ash Park,Manchester
4417,17,Ash Park,Manchester
4418,18,Ash Park,Manchester
4419,19,Ash Park,Manchester
4420,20,Ash Park,Manchester
4421,21,Ash Park,Manchester
4422,22,Ash Park,Manchester
4423,23,Ash Park,Manchester
4424,24,Ash Park,Manchester
4425,25,Ash Park,Manchester
4426,26,Ash Park,Manchester
4427,27,Ash Park,Manchester
4428,28,Ash Park,Manchester
4429,29,Ash Park,Manchester
4430,30,Ash Park,Manchester
4431,31,Ash Park,Manchester
4432,32,Ash Park,Manchester
4433,33,Ash Park,Manchester
4434,34,Ash Park,Manchester
4435,35,Ash Park,Manchester
4436,36,Ash Park,Manchester
4437,37,Ash Park,Manchester
4438,38,Ash Park,Manchester
4439,39,Ash Park,Manchester
4440,40,Ash Park,Manchester
4441,41,Ash Park,Manchester
4442,42,Ash Park,Manchester
4443,43,Ash Park,Manchester
4444,44,Ash Park,Manchester
4445,45,Ash Park,Manchester
4446,46,Ash Park,Manchester
4447,47,Ash Park,Manchester
4448,48,Ash Park,Manchester
4449,49,Ash Park,Manchester
4450,50,Ash Park,Manchester
4451,51,Ash Park,Manchester
4452,52,Ash Park,Manchester
4453,53,Ash Park,Manchester
4454,54,Ash Park,Manchester
4455,55,Ash Park,Manchester
4456,56,Ash Park,Manchester
4457,57,Ash Park,Manchester
4458,58,Ash Park,Manchester
4459,59,Ash Park,Manchester
4460,60,Ash Park,Manchester
4461,61,Ash Park,Manchester
4462,62,Ash Park,Manchester
4463,63,Ash Park,Manchester
4464,64,Ash Park,Manchester
4465,65,Ash Park,Manchester
4466,66,Ash Park,Manchester
4467,67,Ash Park,Manchester
4468,68,Ash Park,Manchester
4469,69,Ash Park,Manchester
4470,70,Ash Park,Manchester
4471,71,Ash Park,Manchester
4472,72,Ash Park,Manchester
4473,73,Ash Park,Manchester
4474,74,Ash Park,Manchester
4475,75,Ash Park,Manchester
4476,76,Ash Park,Manchester
4477,77,Ash Park,Manchester
4478,78,Ash Park,Manchester
4479,79,Ash Park,Manchester
4480,80,Ash Park,Manchester
4481,81,Ash Park,Manchester
4482,82,Ash Park,Manchester
4483,83,Ash Park,Manchester
4484,84,Ash Park,Manchester
4485,85,Ash Park,Manchester
4486,86,Ash Park,Manchester
4487,87,Ash Park,Manchester
4488,88,Ash Park,Manchester
4489,89,Ash Park,Manchester
4490,90,Ash Park,Manchester
4491,91,Ash Park,Manchester
4492,92,Ash Park,Manchester
4493,93,Ash Park,Manchester
4494,94,Ash Park,Manchester
4495,95,Ash Park,Manchester
4496,96,Ash Park,Manchester
4497,97,Ash Park,Manchester
4498,98,Ash Park,Manchester
4499,99,Ash Park,Manchester
4500,100,Ash Park,Manchester
4501,1,Rose Lane,London
4502,2,Rose Lane,London
4503,3,Rose Lane,London
4504,4,Rose Lane,London
4505,5,Rose Lane,London
4506,6,Rose Lane,London
4507,7,Rose Lane,London
4508,8,Rose Lane,London
4509,9,Rose Lane,London
4510,10,Rose Lane,London
4511,11,Rose Lane,London
4512,12,Rose Lane,London
4513,13,Rose Lane,London
4514,14,Rose Lane,London
4515,15,Rose Lane,London
4516,16,Rose Lane,London
4517,17,Rose Lane,London
4518,18,Rose Lane,London
4519,19,Rose Lane,London
4520,20,Rose Lane,London
4521,21,Rose Lane,London
4522,22,Rose Lane,London
4523,23,Rose Lane,London
4524,24,Rose Lane,London
4525,25,Rose Lane,London
4526,26,Rose Lane,London
4527,27,Rose Lane,London
4528,28,Rose Lane,London
4529,29,Rose Lane,London
4530,30,Rose Lane,London
4531,31,Rose Lane,London
4532,32,Rose Lane,London
4533,33,Rose Lane,London
4534,34,Rose Lane,London
4535,35,Rose Lane,London
4536,36,Rose Lane,London
4537,37,Rose Lane,London
4538,38,Rose Lane,London
4539,39,Rose Lane,London
4540,40,Rose Lane,London
4541,41,Rose Lane,London
4542,42,Rose Lane,London
4543,43,Rose Lane,London
4544,44,Rose Lane,London
4545,45,Rose Lane,London
4546,46,Rose Lane,London
4547,47,Rose Lane,London
4548,48,Rose Lane,London
4549,49,Rose Lane,London
4550,50,Rose Lane,London
4551,51,Rose Lane,London
4552,52,Rose Lane,London
4553,53,Rose Lane,London
4554,54,Rose Lane,London
4555,55,Rose Lane,London
4556,56,Rose Lane,London
4557,57,Rose Lane,London
4558,58,Rose Lane,London
4559,59,Rose Lane,London
4560,60,Rose Lane,London
4561,61,Rose Lane,London
4562,62,Rose Lane,London
4563,63,Rose Lane,London
4564,64,Rose Lane,London
4565,65,Rose Lane,London
4566,66,Rose Lane,London
4567,67,Rose Lane,London
4568,68,Rose Lane,London
4569,69,Rose Lane,London
4570,70,Rose Lane,London
4571,71,Rose Lane,London
4572,72,Rose Lane,London
4573,73,Rose Lane,London
4574,74,Rose Lane,London
4575,75,Rose Lane,London
4576,76,Rose Lane,London
4577,77,Rose Lane,London
4578,78,Rose Lane,London
4579,79,Rose Lane,London
4580,80,Rose Lane,London
4581,81,Rose Lane,London
4582,82,Rose Lane,London
4583,83,Rose Lane,London
4584,84,Rose Lane,London
4585,85,Rose Lane,London
4586,86,Rose Lane,London
4587,87,Rose Lane,London
4588,88,Rose Lane,London
4589,89,Rose Lane,London
4590,90,Rose Lane,London
4591,91,Rose Lane,London
4592,92,Rose Lane,London
4593,93,Rose Lane,London
4594,94,Rose Lane,London
4595,95,Rose Lane,London
4596,96,Rose Lane,London
4597,97,Rose Lane,London
4598,98,Rose Lane,London
4599,99,Rose Lane,London
4600,100,Rose Lane,London
4601,1,Rose Lane,Liverpool
4602,2,Rose Lane,Liverpool
4603,3,Rose Lane,Liverpool
4604,4,Rose Lane,Liverpool
4605,5,Rose Lane,Liverpool
4606,6,Rose Lane,Liverpool
4607,7,Rose Lane,Liverpool
4608,8,Rose Lane,Liverpool
4609,9,Rose Lane,Liverpool
4610,10,Rose Lane,Liverpool
4611,11,Rose Lane,Liverpool
4612,12,Rose Lane,Liverpool
4613,13,Rose Lane,Liverpool
4614,14,Rose Lane,Liverpool
4615,15,Rose Lane,Liverpool
4616,16,Rose Lane,Liverpool
4617,17,Rose Lane,Liverpool
4618,18,Rose Lane,Liverpool
4619,19,Rose Lane,Liverpool
4620,20,Rose Lane,Liverpool
4621,21,Rose Lane,Liverpool
4622,22,Rose Lane,Liverpool
4623,23,Rose Lane,Liverpool
4624,24,Rose Lane,Liverpool
4625,25,Rose Lane,Liverpool
4626,26,Rose Lane,Liverpool
4627,27,Rose Lane,Liverpool
4628,28,Rose Lane,Liverpool
4629,29,Rose Lane,Liverpool
4630,30,Rose Lane,Liverpool
4631,31,Rose Lane,Liverpool
4632,32,Rose Lane,Liverpool
4633,33,Rose Lane,Liverpool
4634,34,Rose Lane,Liverpool
4635,35,Rose Lane,Liverpool
4636,36,Rose Lane,Liverpool
4637,37,Rose Lane,Liverpool
4638,38,Rose Lane,Liverpool
4639,39,Rose Lane,Liverpool
4640,40,Rose Lane,Liverpool
4641,41,Rose Lane,Liverpool
4642,42,Rose Lane,Liverpool
4643,43,Rose Lane,Liverpool
4644,44,Rose Lane,Liverpool
4645,45,Rose Lane,Liverpool
4646,46,Rose Lane,Liverpool
4647,47,Rose Lane,Liverpool
4648,48,Rose Lane,Liverpool
4649,49,Rose Lane,Liverpool
4650,50,Rose Lane,Liverpool
4651,51,Rose Lane,Liverpool
4652,52,Rose Lane,Liverpool
4653,53,Rose Lane,Liverpool
4654,54,Rose Lane,Liverpool
4655,55,Rose Lane,Liverpool
4656,56,Rose Lane,Liverpool
4657,57,Rose Lane,Liverpool
4658,58,Rose Lane,Liverpool
4659,59,Rose Lane,Liverpool
4660,60,Rose Lane,Liverpool
4661,61,Rose Lane,Liverpool
4662,62,Rose Lane,Liverpool
4663,63,Rose Lane,Liverpool
4664,64,Rose Lane,Liverpool
4665,65,Rose Lane,Liverpool
4666,66,Rose Lane,Liverpool
4667,67,Rose Lane,Liverpool
4668,68,Rose Lane,Liverpool
4669,69,Rose Lane,Liverpool
4670,70,Rose Lane,Liverpool
4671,71,Rose Lane,Liverpool
4672,72,Rose Lane,Liverpool
4673,73,Rose Lane,Liverpool
4674,74,Rose Lane,Liverpool
4675,75,Rose Lane,Liverpool
4676,76,Rose Lane,Liverpool
4677,77,Rose Lane,Liverpool
4678,78,Rose Lane,Liverpool
4679,79,Rose Lane,Liverpool
4680,80,Rose Lane,Liverpool
4681,81,Rose Lane,Liverpool
4682,82,Rose Lane,Liverpool
4683,83,Rose Lane,Liverpool
4684,84,Rose Lane,Liverpool
4685,85,Rose Lane,Liverpool
4686,86,Rose Lane,Liverpool
4687,87,Rose Lane,Liverpool
4688,88,Rose Lane,Liverpool
4689,89,Rose Lane,Liverpool
4690,90,Rose Lane,Liverpool
4691,91,Rose Lane,Liverpool
4692,92,Rose Lane,Liverpool
4693,93,Rose Lane,Liverpool
4694,94,Rose Lane,Liverpool
4695,95,Rose Lane,Liverpool
4696,96,Rose Lane,Liverpool
4697,97,Rose Lane,Liverpool
4698,98,Rose Lane,Liverpool
4699,99,Rose Lane,Liverpool
4700,100,Rose Lane,Liverpool
4701,1,Rose Lane,York
4702,2,Rose Lane,York
4703,3,Rose Lane,York
4704,4,Rose Lane,York
4705,5,Rose Lane,York
4706,6,Rose Lane,York
4707,7,Rose Lane,York
4708,8,Rose Lane,York
4709,9,Rose Lane,York
4710,10,Rose Lane,York
4711,11,Rose Lane,York
4712,12,Rose Lane,York
4713,13,Rose Lane,York
4714,14,Rose Lane,York
4715,15,Rose Lane,York
4716,16,Rose Lane,York
4717,17,Rose Lane,York
4718,18,Rose Lane,York
4719,19,Rose Lane,York
4720,20,Rose Lane,York
4721,21,Rose Lane,York
4722,22,Rose Lane,York
4723,23,Rose Lane,York
4724,24,Rose Lane,York
4725,25,Rose Lane,York
4726,26,Rose Lane,York
4727,27,Rose Lane,York
4728,28,Rose Lane,York
4729,29,Rose Lane,York
4730,30,Rose Lane,York
4731,31,Rose Lane,York
4732,32,Rose Lane,York
4733,33,Rose Lane,York
4734,34,Rose Lane,York
4735,35,Rose Lane,York
4736,36,Rose Lane,York
4737,37,Rose Lane,York
4738,38,Rose Lane,York
4739,39,Rose Lane,York
4740,40,Rose Lane,York
4741,41,Rose Lane,York
4742,42,Rose Lane,York
4743,43,Rose Lane,York
4744,44,Rose Lane,York
4745,45,Rose Lane,York
4746,46,Rose Lane,York
4747,47,Rose Lane,York
4748,48,Rose Lane,York
4749,49,Rose Lane,York
4750,50,Rose Lane,York
4751,51,Rose Lane,York
4752,52,Rose Lane,York
4753,53,Rose Lane,York
4754,54,Rose Lane,York
4755,55,Rose Lane,York
4756,56,Rose Lane,York
4757,57,Rose Lane,York
4758,58,Rose Lane,York
4759,59,Rose Lane,York
4760,60,Rose Lane,York
4761,61,Rose Lane,York
4762,62,Rose Lane,York
4763,63,Rose Lane,York
4764,64,Rose Lane,York
4765,65,Rose Lane,York
4766,66,Rose Lane,York
4767,67,Rose Lane,York
4768,68,Rose Lane,York
4769,69,Rose Lane,York
4770,70,Rose Lane,York
4771,71,Rose Lane,York
4772,72,Rose Lane,York
4773,73,Rose Lane,York
4774,74,Rose Lane,York
4775,75,Rose Lane,York
4776,76,Rose Lane,York
4777,77,Rose Lane,York
4778,78,Rose Lane,York
4779,79,Rose Lane,York
4780,80,Rose Lane,York
4781,81,Rose Lane,York
4782,82,Rose Lane,York
4783,83,Rose Lane,York
4784,84,Rose Lane,York
4785,85,Rose Lane,York
4786,86,Rose Lane,York
4787,87,Rose Lane,York
4788,88,Rose Lane,York
4789,89,Rose Lane,York
4790,90,Rose Lane,York
4791,91,Rose Lane,York
4792,92,Rose Lane,York
4793,93,Rose Lane,York
4794,94,Rose Lane,York
4795,95,Rose Lane,York
4796,96,Rose Lane,York
4797,97,Rose Lane,York
4798,98,Rose Lane,York
4799,99,Rose Lane,York
4800,100,Rose Lane,York
4801,1,Rose Lane,Leeds
4802,2,Rose Lane,Leeds
4803,3,Rose Lane,Leeds
4804,4,Rose Lane,Leeds
4805,5,Rose Lane,Leeds
4806,6,Rose Lane,Leeds
4807,7,Rose Lane,Leeds
4808,8,Rose Lane,Leeds
4809,9,Rose Lane,Leeds
4810,10,Rose Lane,Leeds
4811,11,Rose Lane,Leeds
4812,12,Rose Lane,Leeds
4813,13,Rose Lane,Leeds
4814,14,Rose Lane,Leeds
4815,15,Rose Lane,Leeds
4816,16,Rose Lane,Leeds
4817,17,Rose Lane,Leeds
4818,18,Rose Lane,Leeds
4819,19,Rose Lane,Leeds
4820,20,Rose Lane,Leeds
4821,21,Rose Lane,Leeds
4822,22,Rose Lane,Leeds
4823,23,Rose Lane,Leeds
4824,24,Rose Lane,Leeds
4825,25,Rose Lane,Leeds
4826,26,Rose Lane,Leeds
4827,27,Rose Lane,Leeds
4828,28,Rose Lane,Leeds
4829,29,Rose Lane,Leeds
4830,30,Rose Lane,Leeds
4831,31,Rose Lane,Leeds
4832,32,Rose Lane,Leeds
4833,33,Rose Lane,Leeds
4834,34,Rose Lane,Leeds
4835,35,Rose Lane,Leeds
4836,36,Rose Lane,Leeds
4837,37,Rose Lane,Leeds
4838,38,Rose Lane,Leeds
4839,39,Rose Lane,Leeds
4840,40,Rose Lane,Leeds
4841,41,Rose Lane,Leeds
4842,42,Rose Lane,Leeds
4843,43,Rose Lane,Leeds
4844,44,Rose Lane,Leeds
4845,45,Rose Lane,Leeds
4846,46,Rose Lane,Leeds
4847,47,Rose Lane,Leeds
4848,48,Rose Lane,Leeds
4849,49,Rose Lane,Leeds
4850,50,Rose Lane,Leeds
4851,51,Rose Lane,Leeds
4852,52,Rose Lane,Leeds
4853,53,Rose Lane,Leeds
4854,54,Rose Lane,Leeds
4855,55,Rose Lane,Leeds
4856,56,Rose Lane,Leeds
4857,57,Rose Lane,Leeds
4858,58,Rose Lane,Leeds
4859,59,Rose Lane,Leeds
4860,60,Rose Lane,Leeds
4861,61,Rose Lane,Leeds
4862,62,Rose Lane,Leeds
4863,63,Rose Lane,Leeds
4864,64,Rose Lane,Leeds
4865,65,Rose Lane,Leeds
4866,66,Rose Lane,Leeds
4867,67,Rose Lane,Leeds
4868,68,Rose Lane,Leeds
4869,69,Rose Lane,Leeds
4870,70,Rose Lane,Leeds
4871,71,Rose Lane,Leeds
4872,72,Rose Lane,Leeds
4873,73,Rose Lane,Leeds
4874,74,Rose Lane,Leeds
4875,75,Rose Lane,Leeds
4876,76,Rose Lane,Leeds
4877,77,Rose Lane,Leeds
4878,78,Rose Lane,Leeds
4879,79,Rose Lane,Leeds
4880,80,Rose Lane,Leeds
4881,81,Rose Lane,Leeds
4882,82,Rose Lane,Leeds
4883,83,Rose Lane,Leeds
4884,84,Rose Lane,Leeds
4885,85,Rose Lane,Leeds
4886,86,Rose Lane,Leeds
4887,87,Rose Lane,Leeds
4888,88,Rose Lane,Leeds
4889,89,Rose Lane,Leeds
4890,90,Rose Lane,Leeds
4891,91,Rose Lane,Leeds
4892,92,Rose Lane,Leeds
4893,93,Rose Lane,Leeds
4894,94,Rose Lane,Leeds
4895,95,Rose Lane,Leeds
4896,96,Rose Lane,Leeds
4897,97,Rose Lane,Leeds
4898,98,Rose Lane,Leeds
4899,99,Rose Lane,Leeds
4900,100,Rose Lane,Leeds
4901,1,Rose Lane,Manchester
4902,2,Rose Lane,Manchester
4903,3,Rose Lane,Manchester
4904,4,Rose Lane,Manchester
4905,5,Rose Lane,Manchester
4906,6,Rose Lane,Manchester
4907,7,Rose Lane,Manchester
4908,8,Rose Lane,Manchester
4909,9,Rose Lane,Manchester
4910,10,Rose Lane,Manchester
4911,11,Rose Lane,Manchester
4912,12,Rose Lane,Manchester
4913,13,Rose Lane,Manchester
4914,14,Rose Lane,Manchester
4915,15,Rose Lane,Manchester
4916,16,Rose Lane,Manchester
4917,17,Rose Lane,Manchester
4918,18,Rose Lane,Manchester
4919,19,Rose Lane,Manchester
4920,20,Rose Lane,Manchester
4921,21,Rose Lane,Manchester
4922,22,Rose Lane,Manchester
4923,23,Rose Lane,Manchester
4924,24,Rose Lane,Manchester
4925,25,Rose Lane,Manchester
4926,26,Rose Lane,Manchester
4927,27,Rose Lane,Manchester
4928,28,Rose Lane,Manchester
4929,29,Rose Lane,Manchester
4930,30,Rose Lane,Manchester
4931,31,Rose Lane,Manchester
4932,32,Rose Lane,Manchester
4933,33,Rose Lane,Manchester
4934,34,Rose Lane,Manchester
4935,35,Rose Lane,Manchester
4936,36,Rose Lane,Manchester
4937,37,Rose Lane,Manchester
4938,38,Rose Lane,Manchester
4939,39,Rose Lane,Manchester
4940,40,Rose Lane,Manchester
4941,41,Rose Lane,Manchester
4942,42,Rose Lane,Manchester
4943,43,Rose Lane,Manchester
4944,44,Rose Lane,Manchester
4945,45,Rose Lane,Manchester
4946,46,Rose Lane,Manchester
4947,47,Rose Lane,Manchester
4948,48,Rose Lane,Manchester
4949,49,Rose Lane,Manchester
4950,50,Rose Lane,Manchester
4951,51,Rose Lane,Manchester
4952,52,Rose Lane,Manchester
4953,53,Rose Lane,Manchester
4954,54,Rose Lane,Manchester
4955,55,Rose Lane,Manchester
4956,56,Rose Lane,Manchester
4957,57,Rose Lane,Manchester
4958,58,Rose Lane,Manchester
4959,59,Rose Lane,Manchester
4960,60,Rose Lane,Manchester
4961,61,Rose Lane,Manchester
4962,62,Rose Lane,Manchester
4963,63,Rose Lane,Manchester
4964,64,Rose Lane,Manchester
4965,65,Rose Lane,Manchester
4966,66,Rose Lane,Manchester
4967,67,Rose Lane,Manchester
4968,68,Rose Lane,Manchester
4969,69,Rose Lane,Manchester
4970,70,Rose Lane,Manchester
4971,71,Rose Lane,Manchester
4972,72,Rose Lane,Manchester
4973,73,Rose Lane,Manchester
4974,74,Rose Lane,Manchester
4975,75,Rose Lane,Manchester
4976,76,Rose Lane,Manchester
4977,77,Rose Lane,Manchester
4978,78,Rose Lane,Manchester
4979,79,Rose Lane,Manchester
4980,80,Rose Lane,Manchester
4981,81,Rose Lane,Manchester
4982,82,Rose Lane,Manchester
4983,83,Rose Lane,Manchester
4984,84,Rose Lane,Manchester
4985,85,Rose Lane,Manchester
4986,86,Rose Lane,Manchester
4987,87,Rose Lane,Manchester
4988,88,Rose Lane,Manchester
4989,89,Rose Lane,Manchester
4990,90,Rose Lane,Manchester
4991,91,Rose Lane,Manchester
4992,92,Rose Lane,Manchester
4993,93,Rose Lane,Manchester
4994,94,Rose Lane,Manchester
4995,95,Rose Lane,Manchester
4996,96,Rose Lane,Manchester
4997,97,Rose Lane,Manchester
4998,98,Rose Lane,Manchester
4999,99,Rose Lane,Manchester
5000,100,Rose Lane,Manchester
